ID,Author,central number,cumulative # of papers,cumulative  of co-authors,cumulative # of journals,min year of publication,max year of publication,cluster size
37551,Paul Green,5.559434,76,41,14,1965,1996,9970
39200,Donald Lehmann,5.371852,52,44,16,1972,1996,9970
66010,Dubinsky Alan,5.694653,50,38,15,1979,1996,9970
38635,Arch Woodside,6.294613,49,35,13,1974,1996,9970
37615,Wayne Desarbo,5.323402,48,52,11,1978,1996,9970
38634,William Bearden,5.830574,47,29,13,1976,1996,9970
37445,Vijay Mahajan,5.26783,46,52,11,1976,1995,9970
38208,Gilbert Churchill,5.86789,42,32,11,1968,1993,9970
38226,John Farley,5.728658,39,31,13,1968,1996,9970
40375,John Swan,5.919249,39,36,10,1974,1996,9970
37430,George Zinkhan,6.00331,38,31,13,1983,1996,9970
43097,Donald Morrison,5.852542,38,28,8,1965,1996,9970
40314,A Parasuraman,5.837295,36,30,11,1977,1996,9970
39031,Morris Holbrook,5.682616,36,24,11,1979,1996,9970
39839,Yoram Wind,5.58722,36,37,14,1969,1992,9970
39885,William Darden,6.095195,36,27,11,1971,1996,9970
41545,David Aaker,5.840906,35,19,13,1969,1994,9970
43358,Richard Staelin,5.678703,34,37,9,1971,1995,9970
41089,Robert Peterson,5.551208,33,27,17,1969,1996,9970
39517,Coskun Samli,6.532049,33,30,11,1969,1994,9970
61626,Venkat Srinivasan,5.929481,33,28,10,1973,1996,9970
40722,Charles Futrell,6.059083,32,21,7,1976,1996,9970
41270,Charles Weinberg,5.860768,32,25,12,1975,1996,9970
41354,Roland Rust,5.676597,32,33,12,1979,1996,9970
41367,Frank Bass,5.628749,31,31,9,1967,1995,9970
40811,Jesse Teel,6.044738,29,19,10,1976,1995,9970
39738,Robert Green,6.062995,29,22,13,1972,1996,9970
37777,Roger Calantone,5.946835,29,32,13,1978,1996,9970
38176,Charles Lamb,6.293208,29,30,10,1977,1995,9970
38677,Vithala Rao,5.644397,28,25,12,1969,1996,9970
39779,Claes Fornell,5.663657,28,21,9,1978,1996,9970
40463,Thomas Robertson,5.834286,28,19,10,1968,1996,9970
41464,William Dillon,5.655732,28,28,10,1978,1996,9970
