ID,Author,central number,cumulative # of papers,cumulative  of co-authors,cumulative # of journals,min year of publication,max year of publication,cluster size
37551,Paul Green,6.156111,41,24,7,1965,1983,2038
38634,William Bearden,6.362788,27,17,11,1976,1983,2038
38635,Arch Woodside,7.124202,27,20,11,1974,1982,2038
39839,Yoram Wind,6.001472,26,23,10,1969,1983,2038
38208,Gilbert Churchill,6.328424,25,16,7,1968,1982,2038
38597,William Perreault,6.909671,24,18,10,1975,1983,2038
38226,John Farley,6.627393,23,17,9,1968,1982,2038
40375,John Swan,6.72754,22,14,8,1974,1983,2038
39885,William Darden,6.760432,20,12,7,1971,1982,2038
39200,Donald Lehmann,6.225822,20,14,6,1972,1983,2038
39738,Robert Green,6.783996,19,16,7,1972,1983,2038
40287,Leonard Reid,7.381934,19,11,7,1976,1983,2038
40811,Jesse Teel,6.539027,19,10,8,1976,1983,2038
41270,Charles Weinberg,5.928325,19,16,7,1975,1983,2038
43358,Richard Staelin,6.902307,19,19,7,1971,1983,2038
37445,Vijay Mahajan,5.635738,18,22,8,1976,1983,2038
41367,Frank Bass,6.20373,17,16,4,1967,1983,2038
41545,David Aaker,5.899852,17,15,8,1969,1983,2038
42591,Jacob Jacoby,6.558664,17,20,5,1971,1982,2038
43097,Donald Morrison,6.672066,17,9,6,1965,1983,2038
40722,Charles Futrell,7.526264,16,9,6,1976,1983,2038
41089,Robert Peterson,6.048109,16,12,9,1969,1983,2038
41133,Noel Capon,7.395679,16,8,5,1972,1983,2038
38375,Barry Mason,6.578792,16,15,8,1975,1982,2038
38687,Richard Durand,6.003436,15,16,7,1975,1983,2038
39230,John Ryans,10.950417,15,14,9,1968,1982,2038
39031,Morris Holbrook,6.408934,15,7,6,1979,1982,2038
38720,Del Hawkins,7.849779,15,8,7,1972,1983,2038
38176,Charles Lamb,7.489936,15,15,6,1977,1983,2038
40426,Thomas Barry,7.171821,15,12,6,1973,1982,2038
39517,Coskun Samli,8.219931,15,15,8,1969,1983,2038
42866,Frank Ronald,6.375061,15,13,2,1964,1979,2038
44592,Brian Sternthal,6.605301,15,11,3,1973,1983,2038
66010,Dubinsky Alan,6.587137,15,10,5,1979,1983,2038
40463,Thomas Robertson,6.901816,14,8,6,1968,1983,2038
41128,Danny Bellenger,6.921944,14,12,5,1973,1983,2038
40687,Roger Kerin,6.560628,14,12,9,1974,1983,2038
42169,Fred Reynolds,6.591065,14,9,6,1971,1983,2038
38077,Ian Mitroff,10.617083,14,6,5,1973,1982,2038
