ID,Author,central number,cumulative # of papers,cumulative  of co-authors,cumulative # of journals,min year of publication,max year of publication,cluster size
37551,Paul Green,5.895299,47,27,9,1965,1986,3277
38635,Arch Woodside,6.890109,33,25,11,1974,1985,3277
38634,William Bearden,6.222832,32,20,11,1976,1986,3277
38208,Gilbert Churchill,6.321733,32,24,8,1968,1986,3277
39839,Yoram Wind,5.807081,29,31,12,1969,1984,3277
40375,John Swan,6.417277,26,21,9,1974,1986,3277
66010,Dubinsky Alan,6.05586,26,18,8,1979,1986,3277
39200,Donald Lehmann,6.096764,25,18,8,1972,1986,3277
38226,John Farley,6.678571,25,20,9,1968,1984,3277
38597,William Perreault,6.797619,25,18,10,1975,1984,3277
43358,Richard Staelin,6.071733,25,29,8,1971,1986,3277
37445,Vijay Mahajan,5.462759,24,35,9,1976,1986,3277
40722,Charles Futrell,6.656898,23,16,7,1976,1986,3277
40811,Jesse Teel,6.471611,23,15,8,1976,1986,3277
41270,Charles Weinberg,6.212454,23,18,8,1975,1986,3277
41545,David Aaker,6.06746,22,17,11,1969,1986,3277
43097,Donald Morrison,6.451465,22,15,7,1965,1986,3277
39031,Morris Holbrook,6.207875,22,16,8,1979,1986,3277
39885,William Darden,6.600427,22,15,7,1971,1986,3277
39517,Coskun Samli,7.519536,21,18,9,1969,1986,3277
39738,Robert Green,6.56807,21,18,8,1972,1986,3277
42591,Jacob Jacoby,6.237179,21,23,6,1971,1986,3277
41367,Frank Bass,6.01221,20,21,5,1967,1986,3277
41128,Danny Bellenger,6.275335,20,18,8,1973,1986,3277
40287,Leonard Reid,7.382783,20,14,8,1976,1985,3277
40226,Joseph Bellizzi,7.869352,20,16,6,1980,1986,3277
38375,Barry Mason,6.770451,19,19,9,1975,1986,3277
41089,Robert Peterson,5.898962,19,14,11,1969,1985,3277
41133,Noel Capon,7.019841,18,11,6,1972,1984,3277
40687,Roger Kerin,5.880952,18,18,10,1974,1986,3277
44592,Brian Sternthal,6.376984,18,13,3,1973,1986,3277
39230,John Ryans,8.899877,17,14,10,1968,1985,3277
38176,Charles Lamb,6.849816,17,17,7,1977,1986,3277
61626,Venkat Srinivasan,6.280219,17,17,8,1973,1986,3277
38546,Wesley Johnston,6.998473,16,9,7,1977,1986,3277
38687,Richard Durand,6.174908,16,16,7,1975,1985,3277
37615,Wayne Desarbo,6.511599,16,11,5,1978,1986,3277
37825,Bernard Taylor,9.152625,16,11,4,1976,1985,3277
38077,Ian Mitroff,9.818681,16,6,5,1973,1984,3277
40463,Thomas Robertson,6.565018,16,9,6,1968,1986,3277
40593,Gary Lilien,6.93315,16,9,8,1975,1986,3277
40426,Thomas Barry,6.500305,16,14,6,1973,1985,3277
