ID,Author,central number,cumulative # of papers,cumulative  of co-authors,cumulative # of journals,min year of publication,max year of publication,cluster size
37551,Paul Green,5.554046,70,38,13,1965,1993,7291
38635,Arch Woodside,6.279286,45,32,12,1974,1992,7291
66010,Dubinsky Alan,5.684362,43,35,14,1979,1993,7291
38634,William Bearden,5.775171,42,25,12,1976,1992,7291
38208,Gilbert Churchill,5.867901,42,32,11,1968,1993,7291
39200,Donald Lehmann,5.648148,40,29,13,1972,1993,7291
37445,Vijay Mahajan,5.242386,38,47,10,1976,1993,7291
37615,Wayne Desarbo,5.510836,37,34,10,1978,1993,7291
38226,John Farley,5.907818,36,30,12,1968,1993,7291
39839,Yoram Wind,5.53443,36,37,14,1969,1992,7291
40375,John Swan,5.901646,34,29,9,1974,1991,7291
41545,David Aaker,5.791358,34,19,13,1969,1993,7291
43097,Donald Morrison,6.043072,32,20,8,1965,1993,7291
40314,A Parasuraman,5.818792,32,28,11,1977,1993,7291
39885,William Darden,6.067764,31,26,10,1971,1993,7291
39517,Coskun Samli,6.632098,31,28,11,1969,1993,7291
40722,Charles Futrell,6.024417,31,20,7,1976,1992,7291
39031,Morris Holbrook,5.80096,31,22,11,1979,1993,7291
61626,Venkat Srinivasan,5.8631,31,27,10,1973,1993,7291
43358,Richard Staelin,5.692592,29,33,8,1971,1993,7291
38176,Charles Lamb,6.320301,28,29,10,1977,1993,7291
37430,George Zinkhan,6.087105,28,25,12,1983,1993,7291
41270,Charles Weinberg,5.863374,28,22,10,1975,1992,7291
41367,Frank Bass,5.624965,28,29,9,1967,1993,7291
39738,Robert Green,6.14074,28,21,13,1972,1993,7291
41089,Robert Peterson,5.61015,27,21,15,1969,1993,7291
40811,Jesse Teel,6.11358,27,18,9,1976,1992,7291
38597,William Perreault,5.820301,27,22,11,1975,1992,7291
41464,William Dillon,5.960356,26,21,9,1978,1993,7291
40226,Joseph Bellizzi,6.742386,26,19,8,1980,1992,7291
40463,Thomas Robertson,5.849245,25,16,10,1968,1993,7291
39230,John Ryans,7.32085,25,25,12,1968,1991,7291
40687,Roger Kerin,5.478189,25,27,11,1974,1992,7291
40593,Gary Lilien,6.193141,24,15,10,1975,1993,7291
39779,Claes Fornell,5.717832,24,17,9,1978,1993,7291
42094,Terence Shimp,6.071742,24,22,9,1976,1993,7291
42591,Jacob Jacoby,6.074622,23,23,6,1971,1990,7291
43214,Robert Lusch,5.900823,23,19,8,1976,1992,7291
44592,Brian Sternthal,6.258024,23,16,3,1973,1993,7291
41354,Roland Rust,5.871604,23,23,8,1979,1993,7291
41133,Noel Capon,6.296433,23,15,8,1972,1992,7291
41128,Danny Bellenger,6.044993,22,20,9,1973,1989,7291
40287,Leonard Reid,6.850068,22,18,8,1976,1993,7291
38375,Barry Mason,6.386556,22,24,9,1975,1990,7291
37701,William Moore,5.768587,22,19,9,1979,1993,7291
38677,Vithala Rao,5.725377,21,18,11,1969,1991,7291
40426,Thomas Barry,6.064746,21,18,8,1973,1993,7291
39202,Shelby Hunt,6.048834,21,16,11,1972,1993,7291
41062,Robert Hite,6.92524,21,9,9,1985,1992,7291
41213,Rajan Varadarajan,5.843347,20,20,8,1985,1993,7291
39670,Doyle Peter,7.116735,20,12,11,1975,1992,7291
38722,Paul Farris,6.058299,20,17,7,1975,1992,7291
44589,James Bettman,6.063923,20,14,6,1972,1993,7291
42064,David Stewart,6.307407,20,18,6,1981,1992,7291
41688,John Quelch,6.179835,20,19,7,1981,1993,7291
41557,Samuel Craig,6.05048,19,12,8,1973,1993,7291
42477,Stephen Brown,6.495473,19,17,9,1976,1993,7291
43254,Ambar Rao,6.453223,19,21,6,1972,1993,7291
43274,David Ricks,6.866117,19,17,4,1971,1993,7291
42704,Winer Russell,5.751851,19,20,9,1979,1993,7291
43805,Louis Stern,6.184636,19,19,5,1971,1992,7291
43968,Orville Walker,6.399588,19,15,6,1972,1992,7291
39832,Asc Ehrenberg,8.45336,19,10,8,1965,1990,7291
40286,Lawrence Soley,6.731001,19,10,6,1980,1992,7291
