ID,Author,central number,cumulative # of papers,cumulative  of co-authors,cumulative # of journals,min year of publication,max year of publication,cluster size
38635,Arch Woodside,8.417743,24,19,10,1974,1980,1162
38634,William Bearden,8.641688,19,11,9,1976,1980,1162
39839,Yoram Wind,7.148148,19,17,8,1969,1980,1162
38597,William Perreault,10.845822,18,12,8,1975,1980,1162
39885,William Darden,9.888888,17,10,6,1971,1979,1162
40375,John Swan,8.074935,15,9,5,1974,1980,1162
40811,Jesse Teel,8.593453,15,9,7,1976,1980,1162
41089,Robert Peterson,7.455641,15,12,9,1969,1980,1162
42866,Frank Ronald,7.248062,15,13,2,1964,1979,1162
40722,Charles Futrell,8.905254,13,7,6,1976,1980,1162
38449,Parker Lessig,10.558139,12,9,5,1971,1980,1162
37445,Vijay Mahajan,7.059431,11,13,6,1976,1980,1162
38176,Charles Lamb,8.720068,11,12,5,1977,1980,1162
41128,Danny Bellenger,9.478036,11,11,3,1973,1980,1162
40891,William Locander,9.761412,11,9,7,1975,1980,1162
39832,Asc Ehrenberg,13.094745,11,6,3,1965,1979,1162
43097,Donald Morrison,8.012919,11,8,4,1965,1980,1162
43968,Orville Walker,8.58484,10,7,4,1972,1979,1162
61626,Venkat Srinivasan,7.576227,10,7,5,1973,1980,1162
43415,William Cunningham,8.787252,9,7,6,1972,1977,1162
43967,Neil Ford,9.205857,9,6,2,1970,1979,1162
43273,John Howard,9.354005,9,7,7,1971,1980,1162
41476,Wilton Anderson,9.189491,9,6,5,1972,1977,1162
37615,Wayne Desarbo,8.0913,9,5,4,1978,1980,1162
38567,Jack Engledow,8.517657,9,4,7,1977,1980,1162
38746,Richard Hise,12.821705,8,5,6,1976,1980,1162
38376,B Wilkinson,9.282515,8,8,5,1973,1980,1162
40687,Roger Kerin,8.375538,8,6,7,1974,1980,1162
42477,Stephen Brown,10.289405,8,7,4,1976,1979,1162
44589,James Bettman,8.613264,8,6,3,1972,1980,1162
43898,James Taylor,10.228251,7,6,2,1966,1978,1162
44795,Allan Shocker,7.579672,7,4,4,1973,1979,1162
42385,William Lundstrom,9.34453,7,6,5,1976,1980,1162
42254,Jay Klompmaker,8.865633,7,5,5,1976,1979,1162
43214,Robert Lusch,8.192937,7,7,6,1976,1980,1162
41173,Warren French,10.844961,7,5,6,1972,1979,1162
39740,Isabella Cunningham,8.803617,7,2,5,1973,1980,1162
39670,Doyle Peter,9.407407,7,7,6,1975,1980,1162
39936,Gene Laczniak,8.74677,7,5,3,1977,1979,1162
38719,James Reinmuth,10.90267,7,4,2,1972,1977,1162
53483,William Abernathy,12.30577,7,5,3,1971,1980,1162
38594,Roscoe Davis,15.07838,6,2,2,1976,1978,1162
38162,Franklin Acito,7.527131,6,7,4,1979,1980,1162
40007,Chatrathi Rao,8.977605,6,6,4,1974,1980,1162
40175,Donald Jackson,11.282515,6,5,5,1975,1980,1162
39202,Shelby Hunt,9.010335,6,3,4,1972,1978,1162
40834,Robert Headen,8.089577,6,4,4,1976,1979,1162
43357,Joseph Newman,9.822566,6,4,4,1971,1978,1162
42268,Melvin Crask,11.832902,6,4,5,1977,1980,1162
42781,Kelly Shuptrine,9.437553,6,5,4,1974,1977,1162
45262,Gerald Goodhardt,14.092161,6,2,2,1967,1979,1162
45319,Alvin Silk,8.652885,6,6,3,1971,1980,1162
44595,Gerald Gorn,11.932816,6,3,2,1974,1980,1162
44434,Edgar Pessemier,8.319552,6,6,3,1967,1978,1162
43944,Arthur Brief,15.336778,5,2,3,1975,1979,1162
44623,Donald Granbois,9.326442,5,5,3,1973,1979,1162
44650,John Mccann,8.180017,5,5,4,1977,1980,1162
44653,Kenneth Coney,9.317829,5,4,4,1974,1978,1162
44723,Michael Mazis,8.878552,5,5,2,1973,1978,1162
42793,Albert Bruno,8.300602,5,4,4,1974,1976,1162
42806,Richard Hansen,10.222222,5,5,4,1972,1979,1162
42382,Alan Resnik,9.423772,5,4,3,1977,1979,1162
43152,Darral Clarke,9.394487,5,4,2,1972,1979,1162
40538,David Wilson,11.366925,5,4,4,1972,1977,1162
40553,William Staples,10.757105,5,3,3,1976,1980,1162
41178,David Wilemon,12.316106,5,3,3,1970,1977,1162
41258,Dick Wittink,9.498708,5,3,1,1975,1978,1162
53218,Richard Nolan,12.316106,5,5,1,1973,1975,1162
45643,Leon Schiffman,11.481481,5,6,3,1974,1978,1162
46775,Joseph Mason,9.576227,5,5,3,1968,1976,1162
49220,V Balachandran,9.431524,5,6,2,1974,1976,1162
56005,Bruce Grady,10.503014,5,3,1,1970,1972,1162
55023,Gary Gemmill,13.3118,4,3,2,1970,1977,1162
56207,Pruden Henry,8.444444,4,4,2,1971,1977,1162
48209,Joseph Thomas,10.07149,4,4,2,1977,1980,1162
45955,Lawrence Lamont,10.340223,4,2,2,1973,1977,1162
49523,Ronald Turner,10.692506,4,3,3,1973,1976,1162
38160,Philippe Cattin,9.498708,4,4,2,1976,1978,1162
38342,Clyde Holsapple,10.077519,4,2,1,1978,1980,1162
38546,Wesley Johnston,10.272179,4,2,3,1977,1979,1162
38705,Ramon Aldag,16.334194,4,2,3,1975,1979,1162
38834,Frederick Russ,11.839793,4,4,3,1975,1979,1162
41191,Roger Best,9.768303,4,3,3,1974,1980,1162
41230,Richard Bagozzi,7.410852,4,6,2,1978,1980,1162
41042,Adrian Ryans,8.681309,4,3,2,1977,1979,1162
40652,Paul Anderson,13.093884,4,3,2,1977,1980,1162
43131,Robert Shoaf,10.20844,4,2,3,1974,1977,1162
41359,Douglas Maclachlan,8.576227,4,6,2,1976,1976,1162
40522,Thomas Hustad,7.806201,4,3,3,1973,1980,1162
41631,Dan Horsky,8.678725,4,4,3,1978,1980,1162
42103,Mark Alpert,8.42894,4,3,3,1972,1975,1162
42597,Richard Oliver,14.341085,4,5,3,1977,1979,1162
42748,Wells William,14.410852,4,3,1,1965,1967,1162
42478,Robert Chestnut,11.483204,4,4,3,1977,1978,1162
42454,Arlene Sosanie,11.439276,4,2,3,1977,1979,1162
45166,David Hughes,9.861326,4,3,3,1971,1976,1162
44633,Myra Strober,8.742463,4,2,2,1977,1980,1162
44642,Stewart Bither,13.294573,4,3,2,1971,1977,1162
44660,Paul Bloom,8.609819,4,4,3,1973,1979,1162
44701,Christopher Lovelock,12.011197,4,6,3,1976,1980,1162
