ID,Author,central number,cumulative # of papers,cumulative  of co-authors,cumulative # of journals,min year of publication,max year of publication,cluster size
37551,Paul Green,3.644736,16,12,2,1965,1974,77
42866,Frank Ronald,3.197368,14,12,1,1964,1972,77
45447,William Massy,3.723684,10,5,1,1964,1970,77
39839,Yoram Wind,3.5,9,8,4,1969,1974,77
38226,John Farley,5.921052,9,6,4,1968,1974,77
39213,James Hulbert,5.092105,6,4,3,1971,1974,77
40833,Harper Boyd,3.815789,6,6,1,1964,1971,77
39200,Donald Lehmann,4.342105,6,6,3,1972,1974,77
43097,Donald Morrison,3.723684,5,4,1,1965,1973,77
55896,Patrick Robinson,4.578947,5,4,2,1965,1968,77
45997,Winston Ring,6.907894,4,1,1,1970,1974,77
38635,Arch Woodside,4.973684,4,4,3,1974,1974,77
41041,George Day,6.328947,4,4,2,1971,1974,77
38677,Vithala Rao,4.631578,4,1,1,1969,1972,77
43273,John Howard,5.973684,4,3,4,1971,1974,77
45861,Roger Heeler,5.421052,3,4,1,1971,1973,77
44776,Lee Cooper,4.75,3,4,1,1972,1974,77
44588,Masao Nakanishi,5.578947,3,3,2,1967,1974,77
42581,Michael Ray,4.592105,3,3,1,1971,1972,77
41545,David Aaker,8.302631,3,3,2,1969,1972,77
41216,Frederick Webster,4.065789,3,3,3,1972,1972,77
56133,Halbert Michael,4.605263,3,2,1,1965,1966,77
45319,Alvin Silk,5.68421,3,3,2,1971,1972,77
41623,David Montgomery,4.776315,3,4,1,1970,1972,77
56186,Henderson Steuart,4.776315,2,2,2,1965,1974,77
41560,Morgan Jones,7.368421,2,2,2,1971,1972,77
66586,Douglas Susan,3.881578,2,3,2,1967,1973,77
56004,Westfall Ralph,4.802631,2,1,1,1965,1970,77
56027,Henry Claycamp,4.68421,2,2,1,1968,1969,77
41133,Noel Capon,6.078947,2,1,1,1972,1972,77
44677,Glen Urban,5.736842,2,2,1,1970,1971,77
42865,Arun Jain,4.355263,2,2,1,1972,1972,77
43282,James Clokey,4.065789,2,3,2,1971,1974,77
44605,Harry Davis,6.644736,2,2,2,1972,1974,77
46182,Charles Strain,4.157894,2,2,1,1970,1972,77
50211,Otto Davis,6.881578,2,2,1,1971,1972,77
44589,James Bettman,6.460526,2,2,2,1972,1974,77
56199,Zoheir Mostafa,3.973684,1,3,1,1964,1964,77
56093,Gross Irwin,4.605263,1,2,1,1967,1967,77
56096,Polli Rolando,4.171052,1,2,1,1967,1967,77
56030,Saigal Romesh,9.289473,1,1,1,1969,1969,77
50212,H Rueter,7.868421,1,1,1,1972,1972,77
50622,Robert Pratt,7.315789,1,1,1,1971,1971,77
54458,Harold Leavitt,6.907894,1,1,1,1968,1968,77
46070,Neil Beckwith,5.328947,1,1,1,1973,1973,77
46113,William Davenport,5.960526,1,1,1,1974,1974,77
46167,William Dunkelbeng,7.315789,1,1,1,1973,1973,77
46168,Neil Beckworth,5.328947,1,1,1,1973,1973,77
46175,K Jain,4.355263,1,2,1,1973,1973,77
46177,J Kearney,6.394736,1,2,1,1973,1973,77
46178,J Mehaffey,6.394736,1,2,1,1973,1973,77
43393,Philip Harvey,6.907894,1,1,1,1972,1972,77
43402,Phillip Brown,9.289473,1,1,1,1972,1972,77
44040,Alan Sawyer,5.578947,1,1,1,1971,1971,77
43317,Stephen Silver,4.486842,1,1,1,1973,1973,77
44624,Frank Carmone,4.631578,1,1,1,1969,1969,77
44593,Terrence O'brien,5.328947,1,1,1,1974,1974,77
45678,Harold Kassarjian,6.565789,1,1,1,1967,1967,77
39035,John O'shaughnessy,5.328947,1,1,1,1974,1974,77
42076,Tinkham Spencer,6.960526,1,1,1,1971,1971,77
56113,Nakanishi Mosao,5.736842,1,1,1,1974,1974,77
40716,Taylor Sims,5.960526,1,1,1,1974,1974,77
44586,Michael Devita,4.631578,1,1,1,1974,1974,77
40189,Rigaux Benny,7.631578,1,1,1,1974,1974,77
