ID,Author,central number,cumulative # of papers,cumulative  of co-authors,cumulative # of journals,min year of publication,max year of publication,cluster size
37551,Paul Green,5.254029,83,46,15,1965,2003,18550
39200,Donald Lehmann,4.823817,77,74,20,1972,2004,18550
66010,Dubinsky Alan,5.125074,69,55,20,1979,2005,18550
37445,Vijay Mahajan,4.981724,65,69,13,1976,2005,18550
37615,Wayne Desarbo,4.946843,64,73,13,1978,2005,18550
38635,Arch Woodside,5.684241,64,49,14,1974,2005,18550
38634,William Bearden,5.390047,61,41,13,1976,2005,18550
37430,George Zinkhan,5.283303,60,56,19,1983,2005,18550
37777,Roger Calantone,5.16238,58,60,18,1978,2005,18550
41354,Roland Rust,4.971427,51,57,15,1979,2005,18550
40314,A Parasuraman,5.169928,49,40,14,1977,2005,18550
39031,Morris Holbrook,5.096231,48,41,14,1979,2003,18550
38226,John Farley,5.26244,48,38,17,1968,2004,18550
70520,Tamer Salih,5.605639,47,50,11,1979,2005,18550
43358,Richard Staelin,5.066903,46,66,10,1971,2005,18550
38811,Michel Wedel,5.331015,45,53,11,1989,2005,18550
40375,John Swan,5.59119,45,42,10,1974,2002,18550
41258,Dick Wittink,5.217693,45,58,10,1975,2005,18550
43097,Donald Morrison,5.282818,43,33,10,1965,2005,18550
61626,Venkat Srinivasan,5.43226,43,36,11,1973,2004,18550
40695,Grewal Dhruv,5.170575,42,44,11,1988,2005,18550
39044,Pitt Leyland,5.723866,42,27,12,1985,2005,18550
38208,Gilbert Churchill,5.591514,42,32,11,1968,1993,18550
41089,Robert Peterson,5.171329,41,38,18,1969,2005,18550
41270,Charles Weinberg,5.282387,41,35,13,1975,2005,18550
41545,David Aaker,5.424065,39,20,14,1969,2001,18550
39839,Yoram Wind,5.218879,39,38,14,1969,2002,18550
40796,C Ferrell,5.554153,39,32,10,1977,2005,18550
39517,Coskun Samli,5.777616,39,38,13,1969,2002,18550
50263,Sumantra Ghoshal,7.539382,39,13,7,1986,2005,18550
39885,William Darden,5.808615,38,29,12,1971,2000,18550
41367,Frank Bass,5.28891,38,41,11,1967,2005,18550
41230,Richard Bagozzi,5.126098,38,44,14,1978,2005,18550
40593,Gary Lilien,5.512534,38,32,10,1975,2005,18550
41261,Wagner Kamakura,5.034233,37,58,12,1984,2005,18550
46031,Max Bazerman,5.737775,37,51,6,1981,2003,18550
41199,Michael Song,5.446277,37,30,11,1991,2005,18550
41248,Jan Steenkamp,5.622728,37,26,11,1989,2004,18550
40445,Scot Burton,5.729365,37,33,14,1987,2005,18550
39929,Kotabe Masaaki,5.526497,36,28,12,1989,2005,18550
38967,David Cravens,5.786295,36,20,12,1973,2005,18550
39202,Shelby Hunt,5.696533,35,25,13,1972,2003,18550
40281,Lawrence Chonko,5.574586,35,30,8,1983,2005,18550
44589,James Bettman,5.35425,35,28,7,1972,2005,18550
45147,Morris Michael,5.355706,35,43,12,1984,2005,18550
41228,V Kumar,5.341689,35,30,13,1988,2005,18550
39138,Diamantopoulos Adamantios,6.176667,35,35,9,1986,2005,18550
38677,Vithala Rao,5.189336,35,56,12,1969,2005,18550
38546,Wesley Johnston,5.627365,34,34,10,1977,2005,18550
41554,Kannan Srinivasan,5.306269,34,48,9,1990,2005,18550
42094,Terence Shimp,5.336298,34,32,12,1976,2005,18550
39726,Laroche Michel,6.004798,34,41,14,1980,2005,18550
40722,Charles Futrell,5.585422,33,22,7,1976,1998,18550
44909,Barbara Kahn,5.001725,33,54,6,1986,2005,18550
41688,John Quelch,5.570596,33,33,8,1981,2005,18550
38578,Pradeep Chintagunta,5.421963,33,34,9,1991,2005,18550
38722,Paul Farris,5.640843,33,24,13,1975,2005,18550
37702,Louviere Jordan,5.175696,33,63,11,1981,2005,18550
39230,John Ryans,5.993746,33,33,14,1968,2004,18550
38176,Charles Lamb,5.793196,32,32,10,1977,2003,18550
45286,Jehoshua Eliashberg,5.189551,32,35,5,1978,2005,18550
44676,John Hauser,5.188635,32,29,8,1979,2005,18550
43214,Robert Lusch,5.561162,32,26,10,1976,2005,18550
40463,Thomas Robertson,5.439053,32,23,11,1968,2002,18550
41213,Rajan Varadarajan,5.364763,32,27,9,1985,2005,18550
42486,Gerard Tellis,5.618416,32,21,12,1981,2005,18550
41464,William Dillon,5.174564,32,31,10,1978,2005,18550
42477,Stephen Brown,5.590328,31,33,12,1976,2005,18550
42184,Richard Netemeyer,5.699175,31,24,13,1989,2004,18550
42376,Naveen Donthu,5.531888,31,28,12,1986,2005,18550
40687,Roger Kerin,5.147716,31,32,14,1974,2005,18550
39738,Robert Green,5.636098,31,23,13,1972,2002,18550
39779,Claes Fornell,5.247021,31,25,9,1978,2005,18550
37734,Droge Cornelia,5.805865,31,23,12,1985,2005,18550
41296,Naresh Malhotra,5.25721,31,36,12,1979,2005,18550
53053,K Prahalad,6.107984,31,10,5,1976,2005,18550
56839,Diener Ed,6.61723,31,33,1,1986,2005,18550
41168,Betsy Gelb,5.900371,30,23,9,1973,2005,18550
40226,Joseph Bellizzi,6.260822,30,21,9,1980,2004,18550
41128,Danny Bellenger,5.556903,30,31,12,1973,2004,18550
39123,Graham Hooley,6.462558,30,30,10,1984,2005,18550
44769,Richard Petty,6.445522,30,31,4,1983,2005,18550
39451,Pierre Berthon,5.561917,30,24,12,1996,2005,18550
39027,Jagdish Sheth,5.523047,30,26,12,1968,2005,18550
40178,Alan Bush,5.772602,30,22,12,1983,2005,18550
44592,Brian Sternthal,5.633996,30,23,5,1973,2005,18550
42704,Winer Russell,5.036821,29,48,11,1979,2005,18550
40220,Thomas Ingram,5.465415,29,33,10,1982,2005,18550
40570,Michael Levy,5.228422,29,24,9,1980,2005,18550
40420,Arun Sharma,5.497924,29,23,8,1990,2005,18550
51000,Tory Higgins,5.956331,29,43,2,1986,2005,18550
65984,Wayne Hoyer,5.428648,29,30,10,1982,2005,18550
66528,Weitz Barton,5.219796,29,31,10,1977,2005,18550
43968,Orville Walker,5.878052,29,20,8,1972,2004,18550
37701,William Moore,5.312038,29,27,11,1979,2002,18550
42591,Jacob Jacoby,5.552213,29,30,7,1971,2002,18550
40811,Jesse Teel,5.638632,29,19,10,1976,1995,18550
41569,John Graham,5.653242,29,38,16,1983,2004,18550
42064,David Stewart,5.735133,28,23,9,1981,2005,18550
38597,William Perreault,5.585799,28,23,11,1975,1999,18550
39832,Asc Ehrenberg,6.323305,28,19,10,1965,2002,18550
43151,Scott Neslin,5.309774,28,43,8,1983,2005,18550
40964,Subhash Sharma,5.206749,28,40,11,1980,2005,18550
39495,Constantine Katsikeas,5.934821,28,28,10,1991,2005,18550
38708,John Mowen,5.628713,28,27,13,1980,2005,18550
43254,Ambar Rao,5.446493,28,34,7,1972,2003,18550
43537,Monroe Kent,5.580678,27,29,8,1975,2005,18550
43590,Christian Homburg,5.79794,27,23,9,1988,2005,18550
41041,George Day,5.250687,27,29,10,1971,2005,18550
41557,Samuel Craig,5.674375,27,15,10,1973,2005,18550
44184,Joel Huber,4.957194,27,61,7,1979,2005,18550
44469,Gerald Albaum,5.610922,27,21,13,1973,2005,18550
45270,Leonard Berry,5.659011,27,21,8,1976,2004,18550
39571,Ruyter De Ko,6.980538,27,20,10,1993,2005,18550
41018,Whan Park,5.539867,27,25,7,1977,2003,18550
49759,Hau Lee,5.924901,27,24,4,1985,2004,18550
56729,Baumeister Roy,7.433446,26,36,1,1986,2005,18550
41962,Saeed Saimee,5.685319,26,22,8,1974,2005,18550
40175,Donald Jackson,6.004582,26,29,11,1975,2002,18550
39433,Rajshekhar Javalgi,5.758693,26,31,10,1987,2005,18550
38042,Dalton Dan,7.092889,26,13,6,1979,2005,18550
38725,Peter Dickson,5.282225,26,27,12,1978,2004,18550
39233,Erdener Kaynak,6.162542,26,24,9,1981,2005,18550
39360,Moncrief William,5.545635,26,35,7,1985,2005,18550
46169,Peter Wright,6.033532,26,26,8,1973,2005,18550
53132,Nohria Nitin,6.813736,26,28,5,1991,2005,18550
56874,Jeff Greenberg,8.056876,26,29,2,1986,2005,18550
39350,David Shipley,6.576041,25,22,9,1985,2001,18550
41066,Rajendra Srivastava,5.104965,25,32,12,1979,2004,18550
40453,Paul Herbig,6.234136,25,18,5,1990,1997,18550
40287,Leonard Reid,6.110841,25,20,8,1976,1999,18550
40244,James Lumpkin,6.143565,25,18,9,1982,1998,18550
39240,Jobber David,6.676478,25,22,9,1979,2004,18550
40335,Earl Honeycutt,5.902366,25,31,6,1989,2005,18550
41311,Rik Pieters,5.505202,25,22,15,1988,2004,18550
44812,Eric Johnson,5.15494,25,33,7,1984,2004,18550
44746,John Payne,5.484284,25,15,6,1978,2004,18550
44921,Itamar Simonson,5.145991,25,28,6,1988,2005,18550
56718,Mikulincer Mario,8.163512,25,27,1,1986,2005,18550
44738,John Lynch,5.08588,24,50,7,1982,2005,18550
41294,Michael Johnson,5.501752,24,24,8,1987,2005,18550
40166,Jean Chebat,5.82689,24,29,7,1985,2005,18550
40469,Michael Latour,6.036875,24,24,10,1988,2003,18550
42298,Sharon Beatty,6.240875,24,23,8,1986,2004,18550
42597,Richard Oliver,5.257426,24,21,10,1977,2000,18550
40891,William Locander,5.730012,24,27,10,1975,2005,18550
39670,Doyle Peter,6.296781,24,16,12,1975,2005,18550
41400,Eitan Muller,5.379804,24,28,8,1978,2005,18550
41133,Noel Capon,5.610868,24,15,9,1972,1996,18550
41589,Erin Anderson,5.391287,24,22,9,1986,2005,18550
41350,Currim Imran,5.48423,23,24,8,1981,2005,18550
40620,Fred Morgan,6.339371,23,17,9,1979,1999,18550
39993,Robert Cooper,5.970564,23,10,7,1977,1999,18550
40038,Valarie Zeithaml,5.400237,23,14,10,1984,2005,18550
38375,Barry Mason,6.049382,23,25,10,1975,1995,18550
37649,Michael Hitt,6.260445,23,21,5,1982,2005,18550
37788,Charles Judd,7.017251,23,27,3,1987,2005,18550
45676,Ian Macmillan,6.01089,23,17,7,1982,2005,18550
47634,Neale Margaret,6.275594,23,22,2,1985,2003,18550
43981,Frank Kardes,5.225349,23,37,7,1986,2005,18550
42868,David Reibstein,5.32627,23,26,10,1979,2005,18550
45100,Birger Wernerfelt,5.421478,23,17,6,1985,2000,18550
48785,Amnon Rapoport,5.527899,23,36,6,1984,2005,18550
42337,Donald Lichtenstein,5.343953,23,31,9,1984,2005,18550
40426,Thomas Barry,5.612863,23,22,8,1973,2005,18550
41512,Stephen Hoch,5.587794,23,25,8,1986,2005,18550
41518,Russell Belk,5.749474,23,25,6,1980,2005,18550
41436,Sh Peter,5.871098,23,23,7,1982,2002,18550
41486,Hubert Gatignon,5.468057,23,20,9,1984,2005,18550
39439,Ugur Yavas,5.909375,23,21,9,1977,2004,18550
40075,Raaij Van,6.258342,23,13,7,1981,1998,18550
38161,Richard Olshavsky,5.730012,23,23,9,1972,1997,18550
44795,Allan Shocker,5.114076,23,37,8,1973,2004,18550
45892,Shelby Mcintyre,5.783168,23,20,8,1977,2002,18550
49736,Chan Kim,6.792926,23,4,6,1988,2005,18550
52535,Christopher Bartlett,6.959782,23,5,6,1981,2003,18550
50671,Frank Yates,6.865868,23,28,1,1975,2003,18550
44703,Alice Tybout,5.438029,22,19,6,1974,2005,18550
44660,Paul Bloom,6.079842,22,24,10,1973,2005,18550
