ID,Author,central number,cumulative # of papers,cumulative  of co-authors,cumulative # of journals,min year of publication,max year of publication,cluster size
37551,Paul Green,5.398397,80,43,14,1965,2000,15355
39200,Donald Lehmann,5.012895,71,70,20,1972,2002,15355
37615,Wayne Desarbo,5.109092,62,69,13,1978,2002,15355
66010,Dubinsky Alan,5.543636,59,45,15,1979,2002,15355
37445,Vijay Mahajan,5.136511,58,61,12,1976,2002,15355
38635,Arch Woodside,5.953106,58,41,14,1974,2002,15355
38634,William Bearden,5.567018,57,39,13,1976,2002,15355
37777,Roger Calantone,5.396834,50,52,17,1978,2002,15355
37430,George Zinkhan,5.464308,49,45,14,1983,2002,15355
39031,Morris Holbrook,5.280252,46,40,13,1979,2002,15355
41354,Roland Rust,5.136055,46,51,14,1979,2002,15355
40375,John Swan,5.712908,45,42,10,1974,2002,15355
38226,John Farley,5.441969,45,35,17,1968,2001,15355
40314,A Parasuraman,5.42471,44,34,11,1977,2002,15355
43358,Richard Staelin,5.299335,44,53,10,1971,2002,15355
38208,Gilbert Churchill,5.733359,42,32,11,1968,1993,15355
61626,Venkat Srinivasan,5.672984,41,34,11,1973,2002,15355
43097,Donald Morrison,5.492444,40,29,9,1965,2001,15355
39517,Coskun Samli,6.06539,39,38,13,1969,2002,15355
39839,Yoram Wind,5.368828,39,38,14,1969,2002,15355
41258,Dick Wittink,5.431809,39,42,10,1975,2002,15355
41089,Robert Peterson,5.405431,39,34,17,1969,2002,15355
41545,David Aaker,5.562459,39,20,14,1969,2001,15355
39885,William Darden,5.953171,38,29,12,1971,2000,15355
38811,Michel Wedel,5.619252,38,39,11,1989,2002,15355
41270,Charles Weinberg,5.437605,37,31,12,1975,2000,15355
41367,Frank Bass,5.463527,36,36,11,1967,2002,15355
40593,Gary Lilien,5.70125,36,32,10,1975,2002,15355
40796,C Ferrell,5.783704,35,31,10,1977,2002,15355
46031,Max Bazerman,5.945681,35,48,6,1981,2002,15355
45147,Morris Michael,5.54813,34,40,12,1984,2001,15355
41248,Jan Steenkamp,5.844796,34,24,9,1989,2002,15355
39202,Shelby Hunt,5.858538,34,24,13,1972,2002,15355
50263,Sumantra Ghoshal,7.888498,34,13,7,1986,2002,15355
70520,Tamer Salih,5.946072,34,32,9,1979,2002,15355
40722,Charles Futrell,5.812491,33,22,7,1976,1998,15355
40695,Grewal Dhruv,5.65351,32,31,10,1988,2002,15355
40445,Scot Burton,6.034453,32,27,14,1987,2002,15355
40463,Thomas Robertson,5.582519,32,23,11,1968,2002,15355
39044,Pitt Leyland,5.916699,32,21,12,1985,2002,15355
38722,Paul Farris,5.762407,32,24,12,1975,2001,15355
38677,Vithala Rao,5.372606,32,46,12,1969,2001,15355
38176,Charles Lamb,5.98007,31,32,10,1977,1998,15355
38967,David Cravens,6.101016,31,20,11,1973,2002,15355
39738,Robert Green,5.822782,31,23,13,1972,2002,15355
41230,Richard Bagozzi,5.355151,31,30,11,1978,2002,15355
41261,Wagner Kamakura,5.240719,31,46,10,1984,2002,15355
41464,William Dillon,5.328253,31,31,10,1978,2001,15355
44589,James Bettman,5.686856,31,15,6,1972,2001,15355
45286,Jehoshua Eliashberg,5.426664,30,31,5,1978,2002,15355
42094,Terence Shimp,5.575941,30,30,11,1976,2000,15355
41199,Michael Song,5.980461,30,22,10,1991,2002,15355
40687,Roger Kerin,5.314054,30,32,14,1974,2001,15355
38546,Wesley Johnston,5.875862,30,30,10,1977,2002,15355
37702,Louviere Jordan,5.347596,30,49,11,1981,2002,15355
