ID,Author,central number,cumulative # of papers,cumulative  of co-authors,cumulative # of journals,min year of publication,max year of publication,cluster size
37551,Paul Green,5.534231,78,42,14,1965,1997,10912
39200,Donald Lehmann,5.299239,55,50,17,1972,1997,10912
37615,Wayne Desarbo,5.258821,51,59,11,1978,1997,10912
38635,Arch Woodside,6.234808,51,38,14,1974,1997,10912
66010,Dubinsky Alan,5.67409,51,39,15,1979,1997,10912
38634,William Bearden,5.734671,48,31,13,1976,1997,10912
37445,Vijay Mahajan,5.227385,48,52,11,1976,1997,10912
38208,Gilbert Churchill,5.836311,42,32,11,1968,1993,10912
40375,John Swan,5.895151,40,36,10,1974,1997,10912
37430,George Zinkhan,5.972321,39,32,13,1983,1997,10912
38226,John Farley,5.683072,39,31,13,1968,1996,10912
40314,A Parasuraman,5.835487,38,31,11,1977,1997,10912
43097,Donald Morrison,5.75905,38,28,8,1965,1996,10912
43358,Richard Staelin,5.577673,37,42,9,1971,1997,10912
39031,Morris Holbrook,5.56915,37,30,11,1979,1997,10912
39839,Yoram Wind,5.526441,37,37,14,1969,1997,10912
39885,William Darden,6.051049,36,27,11,1971,1996,10912
41545,David Aaker,5.708276,36,20,14,1969,1997,10912
41354,Roland Rust,5.501878,35,36,13,1979,1997,10912
39517,Coskun Samli,6.408578,35,32,12,1969,1997,10912
61626,Venkat Srinivasan,5.859774,35,30,10,1973,1997,10912
41089,Robert Peterson,5.522866,34,29,17,1969,1997,10912
41270,Charles Weinberg,5.738887,32,25,12,1975,1996,10912
40722,Charles Futrell,6.056731,32,21,7,1976,1996,10912
41367,Frank Bass,5.593346,31,31,9,1967,1995,10912
40593,Gary Lilien,5.900925,30,24,10,1975,1997,10912
37777,Roger Calantone,5.87288,30,32,13,1978,1997,10912
38176,Charles Lamb,6.26542,29,30,10,1977,1995,10912
38677,Vithala Rao,5.540463,29,35,12,1969,1997,10912
40463,Thomas Robertson,5.765466,29,20,11,1968,1997,10912
39738,Robert Green,6.013106,29,22,13,1972,1996,10912
39779,Claes Fornell,5.594354,29,22,9,1978,1997,10912
41464,William Dillon,5.596645,29,29,10,1978,1997,10912
41258,Dick Wittink,5.582348,29,33,8,1975,1997,10912
40811,Jesse Teel,6.025845,29,19,10,1976,1995,10912
43214,Robert Lusch,5.868023,28,23,9,1976,1997,10912
46031,Max Bazerman,6.293098,28,42,5,1981,1997,10912
