ID,Author,central number,cumulative # of papers,cumulative  of co-authors,cumulative # of journals,min year of publication,max year of publication,cluster size
37551,Paul Green,5.54947,79,43,14,1965,1998,11796
39200,Donald Lehmann,5.278762,58,53,17,1972,1998,11796
37615,Wayne Desarbo,5.260534,55,63,12,1978,1998,11796
37445,Vijay Mahajan,5.249851,51,55,12,1976,1998,11796
38634,William Bearden,5.719372,51,33,13,1976,1998,11796
38635,Arch Woodside,6.226706,51,38,14,1974,1997,11796
66010,Dubinsky Alan,5.696735,51,39,15,1979,1997,11796
38208,Gilbert Churchill,5.874268,42,32,11,1968,1993,11796
40375,John Swan,5.909368,42,39,10,1974,1998,11796
38226,John Farley,5.683849,40,32,13,1968,1998,11796
37430,George Zinkhan,5.95125,40,33,13,1983,1998,11796
40314,A Parasuraman,5.825349,39,32,11,1977,1998,11796
39031,Morris Holbrook,5.559559,39,32,12,1979,1998,11796
43097,Donald Morrison,5.725392,38,28,8,1965,1996,11796
43358,Richard Staelin,5.58033,37,42,9,1971,1997,11796
39517,Coskun Samli,6.28317,37,36,12,1969,1998,11796
39839,Yoram Wind,5.515811,37,37,14,1969,1997,11796
39885,William Darden,6.064179,37,28,11,1971,1998,11796
41354,Roland Rust,5.515642,36,36,13,1979,1998,11796
41545,David Aaker,5.716574,36,20,14,1969,1997,11796
61626,Venkat Srinivasan,5.865197,36,30,10,1973,1998,11796
41089,Robert Peterson,5.551844,35,30,17,1969,1998,11796
41270,Charles Weinberg,5.732259,34,27,12,1975,1998,11796
37777,Roger Calantone,5.727681,34,36,15,1978,1998,11796
40722,Charles Futrell,6.063925,33,22,7,1976,1998,11796
41367,Frank Bass,5.617804,32,32,10,1967,1998,11796
41258,Dick Wittink,5.590334,31,37,9,1975,1998,11796
38176,Charles Lamb,6.249936,31,32,10,1977,1998,11796
40463,Thomas Robertson,5.751504,30,20,11,1968,1998,11796
40593,Gary Lilien,5.874014,30,24,10,1975,1997,11796
39738,Robert Green,6.01916,29,22,13,1972,1996,11796
39779,Claes Fornell,5.625604,29,22,9,1978,1997,11796
38677,Vithala Rao,5.535057,29,35,12,1969,1997,11796
40811,Jesse Teel,6.040695,29,19,10,1976,1995,11796
41464,William Dillon,5.550063,29,29,10,1978,1997,11796
46031,Max Bazerman,6.245612,29,42,5,1981,1998,11796
40796,C Ferrell,6.148791,28,27,9,1977,1998,11796
43214,Robert Lusch,5.888342,28,23,9,1976,1997,11796
38722,Paul Farris,5.919287,28,23,10,1975,1998,11796
39230,John Ryans,6.525137,28,31,14,1968,1998,11796
40226,Joseph Bellizzi,6.629843,28,20,8,1980,1998,11796
39202,Shelby Hunt,6.142009,27,19,11,1972,1998,11796
38597,William Perreault,5.861721,27,22,11,1975,1992,11796
42591,Jacob Jacoby,5.875201,27,28,7,1971,1998,11796
40687,Roger Kerin,5.465027,27,29,12,1974,1998,11796
41688,John Quelch,6.027554,27,24,8,1981,1998,11796
42094,Terence Shimp,5.932344,27,26,9,1976,1998,11796
45286,Jehoshua Eliashberg,5.640016,27,26,5,1978,1997,11796
50263,Sumantra Ghoshal,9.012547,27,9,7,1986,1998,11796
39832,Asc Ehrenberg,7.105044,26,16,10,1965,1997,11796
70520,Tamer Salih,6.685799,26,25,9,1979,1998,11796
40244,James Lumpkin,6.534718,25,18,9,1982,1998,11796
40453,Paul Herbig,6.724035,25,18,5,1990,1997,11796
38546,Wesley Johnston,6.279779,25,19,10,1977,1998,11796
37701,William Moore,5.693598,25,22,10,1979,1998,11796
41128,Danny Bellenger,6.030436,25,24,10,1973,1997,11796
45147,Morris Michael,6.141839,25,30,8,1984,1998,11796
44676,John Hauser,5.852225,24,19,8,1979,1997,11796
44592,Brian Sternthal,6.183213,24,17,3,1973,1996,11796
41133,Noel Capon,6.070792,24,15,9,1972,1996,11796
41213,Rajan Varadarajan,5.834506,24,21,8,1985,1995,11796
41569,John Graham,6.194658,24,34,16,1983,1998,11796
40287,Leonard Reid,6.543959,24,20,8,1976,1998,11796
66528,Weitz Barton,5.80551,24,23,9,1977,1997,11796
53053,K Prahalad,7.175837,23,6,5,1976,1998,11796
56839,Diener Ed,9.086138,23,24,1,1986,1998,11796
40281,Lawrence Chonko,6.235014,23,21,8,1983,1997,11796
40445,Scot Burton,6.391182,23,16,12,1987,1998,11796
39929,Kotabe Masaaki,6.004917,23,19,10,1989,1998,11796
40075,Raaij Van,6.845951,23,13,7,1981,1998,11796
40178,Alan Bush,6.265536,23,17,12,1983,1998,11796
38161,Richard Olshavsky,6.062399,23,23,9,1972,1997,11796
38375,Barry Mason,6.356422,23,25,10,1975,1995,11796
41199,Michael Song,6.303433,23,16,9,1991,1998,11796
41261,Wagner Kamakura,5.518779,23,34,10,1984,1997,11796
41230,Richard Bagozzi,5.537346,23,25,11,1978,1998,11796
40695,Grewal Dhruv,5.948791,23,28,10,1988,1998,11796
42597,Richard Oliver,5.543365,23,21,9,1977,1997,11796
42704,Winer Russell,5.425264,23,31,10,1979,1997,11796
43254,Ambar Rao,6.093429,23,26,6,1972,1997,11796
40659,Marvin Jolson,6.163459,22,19,9,1971,1997,11796
40620,Fred Morgan,6.960915,22,14,9,1979,1998,11796
41248,Jan Steenkamp,6.157609,22,17,6,1989,1998,11796
41168,Betsy Gelb,6.697668,22,17,9,1973,1998,11796
41041,George Day,5.684527,22,22,10,1971,1998,11796
41557,Samuel Craig,6.041458,22,12,9,1973,1997,11796
37702,Louviere Jordan,5.626112,22,39,10,1981,1998,11796
40175,Donald Jackson,6.55693,22,26,10,1975,1995,11796
40220,Thomas Ingram,6.050953,22,23,10,1982,1997,11796
39233,Erdener Kaynak,6.788893,22,21,9,1981,1998,11796
39350,David Shipley,7.07554,22,21,8,1985,1998,11796
39670,Doyle Peter,6.994828,22,13,12,1975,1998,11796
44589,James Bettman,5.881136,22,15,6,1972,1998,11796
43968,Orville Walker,6.293005,22,17,7,1972,1997,11796
44909,Barbara Kahn,5.503264,22,37,6,1986,1998,11796
45100,Birger Wernerfelt,5.957778,22,16,6,1985,1997,11796
47634,Neale Margaret,6.753539,22,21,1,1985,1998,11796
44469,Gerald Albaum,6.082662,21,16,11,1973,1998,11796
39027,Jagdish Sheth,5.932344,21,22,10,1968,1997,11796
40311,Steven Skinner,6.129376,21,16,8,1980,1997,11796
40469,Michael Latour,6.62696,21,21,9,1988,1998,11796
40426,Thomas Barry,6.103772,21,18,8,1973,1993,11796
39993,Robert Cooper,6.46384,21,9,7,1977,1995,11796
41486,Hubert Gatignon,5.828401,21,16,8,1984,1998,11796
42064,David Stewart,6.205426,21,18,7,1981,1998,11796
41086,Darrel Muehling,6.399067,21,15,9,1983,1998,11796
41062,Robert Hite,6.876727,21,9,9,1985,1992,11796
41178,David Wilemon,6.892581,21,15,7,1970,1998,11796
41018,Whan Park,5.961169,21,22,6,1977,1996,11796
43274,David Ricks,6.67961,21,19,5,1971,1994,11796
42477,Stephen Brown,6.249342,21,19,10,1976,1998,11796
50974,Lee Beach,6.804408,21,29,2,1976,1998,11796
40964,Subhash Sharma,5.550572,20,28,6,1980,1995,11796
42184,Richard Netemeyer,6.149639,20,16,9,1989,1998,11796
41882,Steven Wheelwright,6.659516,20,13,6,1976,1995,11796
41496,Mark Parry,6.117592,20,8,10,1990,1998,11796
41554,Kannan Srinivasan,5.807715,20,23,7,1990,1998,11796
40286,Lawrence Soley,6.147944,20,13,7,1980,1994,11796
39123,Graham Hooley,7.180161,20,22,8,1984,1998,11796
39439,Ugur Yavas,6.325137,20,18,8,1977,1995,11796
37765,Howard Thomas,7.432132,20,18,7,1971,1996,11796
37734,Droge Cornelia,6.408478,20,13,9,1985,1997,11796
37530,Gregory Northcraft,7.03493,20,16,3,1984,1998,11796
38725,Peter Dickson,5.693429,20,21,9,1978,1996,11796
38811,Michel Wedel,5.930055,20,25,9,1989,1998,11796
43805,Louis Stern,5.984569,20,20,5,1971,1995,11796
45270,Leonard Berry,6.455023,20,11,7,1976,1997,11796
44795,Allan Shocker,5.523103,20,27,8,1973,1996,11796
46169,Peter Wright,6.707672,20,20,6,1973,1997,11796
45892,Shelby Mcintyre,6.198473,20,19,8,1977,1998,11796
45676,Ian Macmillan,6.344128,20,16,7,1982,1998,11796
50671,Frank Yates,7.77075,20,24,1,1975,1998,11796
44599,John Summers,6.423569,19,13,4,1970,1994,11796
38185,Mitchell Terence,7.71242,19,13,3,1976,1998,11796
38967,David Cravens,6.382195,19,15,10,1973,1998,11796
40229,James Barnes,6.446629,19,32,11,1980,1998,11796
40570,Michael Levy,5.993047,19,13,8,1980,1997,11796
41518,Russell Belk,6.249427,19,22,5,1980,1998,11796
41883,Kim Clark,7.30072,19,11,5,1980,1997,11796
42190,George Moschis,6.329037,19,15,9,1977,1998,11796
40891,William Locander,6.439677,19,18,8,1975,1998,11796
41173,Warren French,6.02891,19,21,11,1972,1997,11796
42496,Robert Leone,5.798897,19,16,7,1980,1998,11796
42398,Myron Gable,6.922509,19,19,6,1974,1996,11796
42600,Jerome Kernan,6.052055,19,15,8,1972,1995,11796
