ID,Author,central number,cumulative # of papers,cumulative  of co-authors,cumulative # of journals,min year of publication,max year of publication,cluster size
39200,Donald Lehmann,4.645517,88,94,22,1972,2009,23091
37551,Paul Green,5.136985,83,46,15,1965,2003,23091
37430,George Zinkhan,5.056388,76,71,20,1983,2009,23091
37615,Wayne Desarbo,4.787397,72,94,13,1978,2008,23091
37777,Roger Calantone,5.002122,72,74,18,1978,2009,23091
37445,Vijay Mahajan,4.857037,71,74,13,1976,2009,23091
66010,Dubinsky Alan,5.013945,71,59,20,1979,2007,23091
38634,William Bearden,5.20524,69,47,14,1976,2009,23091
38635,Arch Woodside,5.461974,69,56,14,1974,2009,23091
40695,Grewal Dhruv,4.809874,66,74,12,1988,2009,23091
70520,Tamer Salih,5.380164,65,70,11,1979,2009,23091
41354,Roland Rust,4.778172,56,64,15,1979,2009,23091
38811,Michel Wedel,5.012472,54,67,11,1989,2009,23091
40314,A Parasuraman,4.8576,54,54,14,1977,2009,23091
39031,Morris Holbrook,4.924772,53,47,16,1979,2009,23091
43358,Richard Staelin,4.802208,53,76,11,1971,2009,23091
41199,Michael Song,5.286184,52,42,11,1991,2009,23091
39044,Pitt Leyland,5.362581,50,35,13,1985,2009,23091
38226,John Farley,5.089129,50,42,18,1968,2008,23091
41228,V Kumar,4.869423,50,57,14,1988,2009,23091
38578,Pradeep Chintagunta,5.072845,48,53,9,1991,2009,23091
39726,Laroche Michel,5.638674,48,54,16,1980,2009,23091
41230,Richard Bagozzi,4.981377,46,50,15,1978,2008,23091
41248,Jan Steenkamp,5.359722,45,35,11,1989,2008,23091
41258,Dick Wittink,5.058423,45,58,10,1975,2005,23091
39138,Diamantopoulos Adamantios,5.903508,45,42,10,1986,2009,23091
41261,Wagner Kamakura,4.787786,45,73,13,1984,2009,23091
40375,John Swan,5.508618,45,42,10,1974,2002,23091
41270,Charles Weinberg,5.136812,44,39,13,1975,2008,23091
46031,Max Bazerman,5.462018,44,59,7,1981,2009,23091
41089,Robert Peterson,5.032351,44,41,19,1969,2009,23091
42486,Gerard Tellis,5.2932,44,31,13,1981,2009,23091
43097,Donald Morrison,5.122737,44,35,11,1965,2009,23091
40593,Gary Lilien,5.274101,43,40,10,1975,2008,23091
39839,Yoram Wind,5.067042,43,41,16,1969,2009,23091
61626,Venkat Srinivasan,5.26912,43,36,11,1973,2004,23091
44769,Richard Petty,6.198527,42,45,5,1983,2008,23091
38208,Gilbert Churchill,5.45747,42,32,11,1968,1993,23091
40445,Scot Burton,5.426721,41,36,14,1987,2009,23091
41367,Frank Bass,5.125855,40,46,11,1967,2007,23091
40796,C Ferrell,5.443178,40,33,11,1977,2007,23091
42376,Naveen Donthu,5.264097,40,39,15,1986,2009,23091
39929,Kotabe Masaaki,5.41087,40,34,12,1989,2008,23091
43590,Christian Homburg,5.539107,40,31,9,1988,2009,23091
44589,James Bettman,5.114984,40,37,9,1972,2009,23091
45147,Morris Michael,5.139064,40,54,12,1984,2009,23091
38677,Vithala Rao,5.01009,40,72,13,1969,2008,23091
41545,David Aaker,5.324079,39,20,14,1969,2001,23091
44676,John Hauser,5.003118,39,39,9,1979,2009,23091
44909,Barbara Kahn,4.799263,39,69,8,1986,2009,23091
43214,Robert Lusch,5.372325,39,30,11,1976,2008,23091
39517,Coskun Samli,5.52317,39,38,13,1969,2002,23091
50263,Sumantra Ghoshal,7.217713,39,13,7,1986,2005,23091
39451,Pierre Berthon,5.37514,38,31,12,1996,2009,23091
39885,William Darden,5.709268,38,29,12,1971,2000,23091
38967,David Cravens,5.660242,38,21,12,1973,2009,23091
40420,Arun Sharma,5.173754,38,29,9,1990,2009,23091
41554,Kannan Srinivasan,5.114595,38,51,9,1990,2009,23091
38546,Wesley Johnston,5.406972,38,39,10,1977,2008,23091
37702,Louviere Jordan,5.010004,38,74,13,1981,2008,23091
56729,Baumeister Roy,5.868168,37,50,2,1986,2009,23091
40281,Lawrence Chonko,5.432005,37,31,8,1983,2007,23091
40570,Michael Levy,4.980207,37,34,9,1980,2009,23091
41213,Rajan Varadarajan,5.177349,37,32,10,1985,2009,23091
42094,Terence Shimp,5.174534,37,38,12,1976,2008,23091
45286,Jehoshua Eliashberg,5.055175,36,39,5,1978,2008,23091
37734,Droge Cornelia,5.648332,36,29,13,1985,2009,23091
43151,Scott Neslin,4.930662,36,67,10,1983,2009,23091
41979,Griffith David,5.304634,35,46,11,1998,2009,23091
41688,John Quelch,5.401212,35,34,9,1981,2009,23091
56839,Diener Ed,6.304287,35,38,1,1986,2008,23091
39027,Jagdish Sheth,5.314508,35,29,12,1968,2009,23091
39202,Shelby Hunt,5.539021,35,25,13,1972,2003,23091
65984,Wayne Hoyer,5.185491,35,36,11,1982,2009,23091
42477,Stephen Brown,5.464919,34,38,12,1976,2009,23091
41128,Danny Bellenger,5.444304,34,35,13,1973,2008,23091
38722,Paul Farris,5.372195,34,25,13,1975,2006,23091
39230,John Ryans,5.775487,33,33,14,1968,2004,23091
41168,Betsy Gelb,5.669423,33,26,9,1973,2008,23091
41296,Naresh Malhotra,5.103334,33,40,13,1979,2006,23091
42298,Sharon Beatty,5.938025,33,34,8,1986,2009,23091
41464,William Dillon,5.04595,33,33,10,1978,2008,23091
40722,Charles Futrell,5.426201,33,22,7,1976,1998,23091
44592,Brian Sternthal,5.459636,33,26,5,1973,2009,23091
51000,Tory Higgins,5.785231,33,45,4,1986,2008,23091
66528,Weitz Barton,5.0398,33,36,11,1977,2009,23091
43537,Monroe Kent,5.220918,32,37,8,1975,2009,23091
40687,Roger Kerin,5.020874,32,32,14,1974,2006,23091
40463,Thomas Robertson,5.319402,32,23,11,1968,2002,23091
40178,Alan Bush,5.530446,32,24,12,1983,2007,23091
41041,George Day,5.029233,32,35,11,1971,2009,23091
39779,Claes Fornell,5.100433,32,26,9,1978,2006,23091
39495,Constantine Katsikeas,5.657557,32,33,11,1991,2009,23091
38708,John Mowen,5.408791,32,33,13,1980,2009,23091
40166,Jean Chebat,5.431095,32,39,8,1985,2009,23091
39571,Ruyter De Ko,6.222174,32,23,10,1993,2008,23091
38176,Charles Lamb,5.713252,32,32,10,1977,2003,23091
44184,Joel Huber,4.76375,32,69,7,1979,2008,23091
53053,K Prahalad,5.961281,32,11,5,1976,2007,23091
38597,William Perreault,5.493027,31,25,13,1975,2007,23091
39123,Graham Hooley,6.227847,31,30,10,1984,2006,23091
41569,John Graham,5.372932,31,42,17,1983,2009,23091
39738,Robert Green,5.527024,31,23,13,1972,2002,23091
40964,Subhash Sharma,5.068124,31,42,12,1980,2008,23091
41557,Samuel Craig,5.548419,31,16,10,1973,2009,23091
42184,Richard Netemeyer,5.496708,31,24,13,1989,2004,23091
53132,Nohria Nitin,6.365959,31,35,5,1991,2009,23091
56874,Jeff Greenberg,6.868904,30,35,2,1986,2008,23091
42704,Winer Russell,4.796015,30,53,12,1979,2009,23091
40891,William Locander,5.57488,30,34,11,1975,2009,23091
40220,Thomas Ingram,5.367475,30,33,10,1982,2007,23091
40226,Joseph Bellizzi,6.153486,30,21,9,1980,2004,23091
41018,Whan Park,5.362624,30,26,8,1977,2007,23091
37701,William Moore,5.138588,30,32,11,1979,2006,23091
44921,Itamar Simonson,4.910177,30,34,6,1988,2009,23091
42064,David Stewart,5.401472,30,26,9,1981,2007,23091
65755,Hanssens Dominique,5.236639,30,46,11,1980,2009,23091
42240,Morgan Robert,5.628843,29,29,13,1991,2009,23091
43968,Orville Walker,5.744045,29,20,8,1972,2004,23091
40808,Charles Taylor,5.457947,29,37,8,1991,2008,23091
40811,Jesse Teel,5.524252,29,19,10,1976,1995,23091
42591,Jacob Jacoby,5.38194,29,30,7,1971,2002,23091
41422,Greg Allenby,5.3233,29,40,5,1991,2009,23091
45676,Ian Macmillan,5.844997,29,20,7,1982,2009,23091
46169,Peter Wright,5.854006,29,29,8,1973,2008,23091
43254,Ambar Rao,5.299177,28,34,7,1972,2003,23091
41551,Sunil Gupta,4.856994,28,50,9,1988,2008,23091
41589,Erin Anderson,5.264876,28,24,10,1986,2008,23091
40287,Leonard Reid,5.965872,28,23,8,1976,2009,23091
39360,Moncrief William,5.323906,28,37,7,1985,2008,23091
37649,Michael Hitt,5.995885,28,34,6,1982,2008,23091
41311,Rik Pieters,5.320614,28,24,15,1988,2007,23091
40175,Donald Jackson,5.563014,28,32,11,1975,2006,23091
40335,Earl Honeycutt,5.758163,28,33,8,1989,2008,23091
40518,John Ford,5.820355,28,36,12,1985,2009,23091
39832,Asc Ehrenberg,6.078995,28,19,10,1965,2002,23091
39371,Evans Kenneth,5.344131,28,34,9,1982,2008,23091
39433,Rajshekhar Javalgi,5.583759,28,32,10,1987,2007,23091
44469,Gerald Albaum,5.446686,28,21,13,1973,2007,23091
45140,Dan Ariely,5.109571,28,49,10,1995,2009,23091
41962,Saeed Saimee,5.521654,28,23,9,1974,2006,23091
49759,Hau Lee,5.716933,28,25,4,1985,2009,23091
56718,Mikulincer Mario,7.673668,27,32,1,1986,2007,23091
45189,Zeelenberg Marcel,5.483889,27,31,7,1996,2008,23091
44812,Eric Johnson,4.982763,27,37,8,1984,2008,23091
44738,John Lynch,4.889302,27,54,9,1982,2008,23091
45270,Leonard Berry,5.427934,27,21,8,1976,2004,23091
38042,Dalton Dan,6.897574,27,13,7,1979,2009,23091
42507,Nan Zhou,5.609701,27,33,13,1986,2009,23091
39233,Erdener Kaynak,5.999393,27,26,9,1981,2007,23091
38725,Peter Dickson,5.133304,27,28,13,1978,2007,23091
40380,Marshall Greg,5.522174,27,29,4,1992,2008,23091
41066,Rajendra Srivastava,4.95864,27,35,12,1979,2009,23091
41400,Eitan Muller,5.273278,27,29,8,1978,2009,23091
