0	847	336	28	5	13	9	20	27	30	7	135	32	246	100	18	29	33
847	0	348	29	3	9	2	12	22	28	3	199	24	182	139	13	27	40
336	348	0	12	0	4	3	2	3	11	2	110	12	37	82	7	12	19
28	29	12	0	0	27	6	0	1	201	6	12	142	1	2	30	188	97
5	3	0	0	0	0	0	6	21	1	0	1	1	3	1	0	0	0
13	9	4	27	0	0	2	0	0	16	0	4	17	0	1	17	34	15
9	2	3	6	0	2	0	0	1	4	4	2	5	0	0	1	3	5
20	12	2	0	6	0	0	0	86	0	0	2	0	8	2	0	0	1
27	22	3	1	21	0	1	86	0	0	3	2	1	10	5	1	1	1
30	28	11	201	1	16	4	0	0	0	3	10	246	0	3	49	146	92
7	3	2	6	0	0	4	0	3	3	0	2	2	1	0	1	4	3
135	199	110	12	1	4	2	2	2	10	2	0	10	25	55	6	13	21
32	24	12	142	1	17	5	0	1	246	2	10	0	0	2	40	112	77
246	182	37	1	3	0	0	8	10	0	1	25	0	0	27	0	0	2
100	139	82	2	1	1	0	2	5	3	0	55	2	27	0	2	3	14
18	13	7	30	0	17	1	0	1	49	1	6	40	0	2	0	25	37
29	27	12	188	0	34	3	0	1	146	4	13	112	0	3	25	0	69
33	40	19	97	0	15	5	1	1	92	3	21	77	2	14	37	69	0
